Unique_ID,RSI_Site,Time,Vehicle_Type ,Vehicle_Occupancy,Origin_Postcode,Origin_Purpose,Destination_Postcode,Destination_Purpose,OriginX,OriginY,DestinationX,DestinationY,BlackcatOrig,BlackCatDest
18023,StNeots-RSI-2,16:00,CAR,1,PE191LD,HOME,CB11PS,SHOPS,518888,260603,544356,254570,33221,33121
18024,StNeots-RSI-2,16:30,CAR,1,PE191LD,HOME,CB21LF,WORKPLACE (YOUR BASE),518888,260603,544356,254570,33221,33121
18025,StNeots-RSI-2,18:00,CAR,1,PE191LD,HOME,IP75DB,HOME,518888,260603,544356,254570,33221,33121
18026,StNeots-RSI-8 W,10:00,CAR,1,PE191LD,HOME,PE197AU,SOCIAL/LEISURE PURPOSES,518888,260603,544356,254570,33221,33121
18027,StNeots-RSI-8 W,9:00,CAR,1,PE191LD,HOME,PE197JN,EMPLOYERS BUSINESS,518888,260603,544356,254570,33221,33121
18028,StNeots-RSI-8 W,16:00,CAR,1,PE191LD,SOCIAL/LEISURE PURPOSES,PE198HT,HOME,518888,260603,544356,254570,33221,33121
18029,StNeots-RSI-3,17:00,CAR,1,PE191LD,HOME,SG191QY,HOME,518888,260603,544356,254570,33221,33121
18030,StNeots-RSI-8 W,8:00,CAR,1,PE191LF,HOME,PE198ET,EMPLOYERS BUSINESS,518786,260556,517158,258442,33213,33176
18031,StNeots-RSI-8 W,8:30,CAR,1,PE191LG,HOME,PE197DB,WORKPLACE (YOUR BASE),518595,260505,517292,261147,33212,33201
18032,StNeots-RSI-2,10:30,CAR,1,PE191LH,HOME,CB43SA,PERSONAL BUSINESS,518907,260485,544758,260394,33213,32721
18033,StNeots-RSI-8 W,11:00,CAR,1,PE191LH,HOME,MK401TJ,SOCIAL/LEISURE PURPOSES,518907,260485,544758,260394,33213,32721
18034,StNeots-RSI-4,12:00,CAR,1,PE191LH,HOME,MK403QB,SOCIAL/LEISURE PURPOSES,518907,260485,544758,260394,33213,32721
18035,StNeots-RSI-8 W,16:30,CAR,3,PE191LH,HOME,PE195BG,SOCIAL/LEISURE PURPOSES,518907,260485,544758,260394,33213,32721
18036,StNeots-RSI-2,18:30,CAR,4,PE191LH,HOME,PE196SN,SOCIAL/LEISURE PURPOSES,518907,260485,544758,260394,33213,32721
